Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_5.webp,Wanaka_5_1.webp,,,-5,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_8.webp,Wanaka_8_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_17.webp,Wanaka_17_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_6.webp,Wanaka_6_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_7.webp,Wanaka_7_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_14.webp,Wanaka_14_1.webp,,,+5,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_10.webp,Wanaka_10_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_9.webp,Wanaka_9_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_11.webp,Wanaka_11_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_20.webp,Wanaka_20_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_21.webp,Wanaka_21_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_22.webp,Wanaka_22_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_23.webp,Wanaka_23_1.webp,,,-5,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Tekapo,Lake Tekapo,Takapō,Tekapo_7.webp,Tekapo_7_1.webp,,,-10,,Tekapo
Landscape,Aotearoa New Zealand,South Island,Tekapo,Lake Tekapo,Takapō,Tekapo_4.webp,Tekapo_4_1.webp,,,-10,,Tekapo
Landscape,Aotearoa New Zealand,South Island,Tekapo,Lake Tekapo,Takapō,Tekapo_3.webp,Tekapo_3_1.webp,,,-10,,Tekapo
Landscape,Aotearoa New Zealand,South Island,Tekapo,Lake Tekapo,Takapō,Tekapo_1.webp,Tekapo_1_1.webp,,,-25,,Tekapo
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04415-4.webp,DSC04415-4_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04340-2.webp,DSC04340-2_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04378-2.webp,DSC04378-2_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04394-2.webp,DSC04394-2_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04405.webp,DSC04405_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04274.webp,DSC04274_1.webp,,,0R 0,,Catlins
Landscape,Aotearoa New Zealand,South Island,Catlins,CATLINS,Te Ākau Tai Toka,DSC04333.webp,DSC04333_1.webp,,,0R 0,,Catlins
